Date,Open,High,Low,Close,Adj Close,Volume
2014-05-29,16905.390625,16940.679688,16873.599609,16915.050781,16915.050781,8172400
2014-05-30,16906.160156,16965.099609,16900.759766,16951.109375,16951.109375,23172300
2014-06-02,16995.839844,17068.330078,16971.640625,17015.480469,17015.480469,12702000
2014-06-03,16999.800781,17003.859375,16817.220703,16873.380859,16873.380859,11505000
2014-06-04,16856.640625,16874.119141,16768.330078,16865.019531,16865.019531,11523700
2014-06-05,16867.939453,16997.220703,16821.130859,16942.000000,16942.000000,12147200
2014-06-06,16965.060547,17139.640625,16965.060547,17129.669922,17129.669922,12929000
2014-06-09,17149.830078,17164.890625,17109.880859,17146.919922,17146.919922,6657700
2014-06-10,17140.140625,17203.849609,17106.060547,17167.919922,17167.919922,12873100
2014-06-11,17171.699219,17183.519531,16973.560547,17026.019531,17026.019531,11585900
2014-06-12,17040.589844,17093.539063,17010.650391,17058.960938,17058.960938,10754100
2014-06-13,17038.880859,17054.939453,16810.640625,16908.199219,16908.199219,13335100
2014-06-16,16891.970703,16932.099609,16829.289063,16837.550781,16837.550781,11035500
2014-06-17,16893.060547,17008.960938,16864.849609,16932.410156,16932.410156,10542500
2014-06-18,16949.259766,16989.410156,16942.630859,16943.679688,16943.679688,10286800
